Name;Size;Type;Alignment;CR;XP;Arctic;Coastal;Desert;Forest;Grassland;Hill;Mountain;Swamp;Underdark;Underwater;Urban;Other Plane;source;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gorgon;Large;Monstrosity;Unaligned;3    ;700    ;;;;;;;;;;;;;Monster Manual 171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gorilla Bear;Medium;Monstrosity;Unaligned;3    ;700    ;;;;;;;;;;;;;Fifth Edition Foes 132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goristro;Huge;Fiend;Chaotic Evil;3    ;700    ;;;;;;;;;;;;x;Monster Manual 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graknork;Gargantuan;Monstrosity;Unaligned;3    ;700    ;x;;;;;;;;;;;;Tome of Beasts 2 182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grandfather Oak;Huge;Plant;Chaotic Good;3    ;700    ;;;;;;;;;;;;;Infernal Machine Rebuild 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grave Behemoth;Huge;Undead;Neutral Evil;3    ;700    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grave Sage;Medium;Monstrosity;Chaotic Evil;3    ;700    ;;;;;;;;;;;x;x;Sandy Petersen's Cthulhu Mythos 327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grave Titan;Huge;Undead;Neutral Evil;3    ;700    ;;;;;;;;;;;x;;Monster a Day Compendium 2.0 68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gravecrawler;Medium;Undead;Neutral Evil;3    ;700    ;;;;;;;;;;;x;;Monster a Day Compendium 2.0 69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graveslayer;Medium;Humanoid;Any Non-Evil;3    ;700    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graveyard Dragon;Large;Undead;Neutral Evil;3    ;700    ;x;x;x;x;x;x;x;x;x;x;x;;Tome of Beasts 2 183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Nisp;Large;Fey;Chaotic Neutral;3    ;700    ;;x;;;;;;;;;;;Fifth Edition Foes 133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Ooze;Medium;Ooze;Unaligned;3    ;700    ;;;;;;;;;;;;;Monster Manual 243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Orc;Medium;Humanoid;Neutral;3    ;700    ;;;;;;;;;;;;;Tome of Beasts 2 284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Render;Large;Monstrosity;Chaotic Neutral;3    ;700    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Render;Large;Monstrosity;Chaotic Neutral;3    ;700    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Slaad;Medium;Aberration;Chaotic Neutral;3    ;700    ;;;;;;;;;;;x;;Monster Manual 277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gray Thirster;Medium;Undead;Neutral Evil;3    ;700    ;;;x;x;x;x;x;x;x;x;;;Tome of Beasts 238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graz'zt;Large;Fiend;Chaotic Evil;3    ;700    ;;;;;;;;;;;;x;Mordenkainen Presents: Monsters of the Multiverse 148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graz'zt;Large;Fiend;Chaotic Evil;3    ;700    ;;;;;;;;;;;;x;Mordenkainen's Tome of Foes 149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Great Gray Owl;Small;Beast;Unaligned;3    ;700    ;;;;;;;;;;;;;Tome of Beasts 2 394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Great Grey Wolf Sif;Large;Beast;Lawful Good;3    ;700    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Basilisk;Large;Monstrosity;Neutral Evil;3    ;700    ;;;x;x;x;x;x;x;x;x;;;Fifth Edition Foes 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Boneneedle;Medium;Beast;Unaligned;3    ;700    ;;;;;;;;;;;;;Fifth Edition Foes 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Fire Crab;Large;Monstrosity;Unaligned;3    ;700    ;;;;;;;;;;;;x;Fifth Edition Foes 101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Ghast of Leng;Large;Aberration;Chaotic Evil;3    ;700    ;;;;;;;;;;;;x;Tome of Beasts 2 164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Lunarchidna;Medium;Aberration;Neutral Evil;3    ;700    ;;;;;;;;;;;;;Tome of Beasts 2 242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Rakshasa;Medium;Fiend;Lawful Evil;3    ;700    ;;;;;;;;;;;x;;Creature Codex 311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Scrag;Large;Monstrosity;Chaotic Evil;3    ;700    ;;x;;;;;;;;;;;Creature Codex 322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Star Spawn Emissary;Huge;Aberration;Not Provided;3    ;700    ;x;x;x;x;x;x;x;x;x;x;x;x;Van Richten's Guide to Ravenloft 245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Zombie;Medium;Undead;Neutral Evil;3    ;700    ;;;;;;;;;;;;;Tales from the Yawning Portal 237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greed Swarm;Medium;Construct;Unaligned;3    ;700    ;;;;;;;;;;;x;;Tome of Beasts 2 184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Abishai;Medium;Fiend;Lawful Evil;3    ;700    ;;;;;;;;;;;x;;Mordenkainen Presents: Monsters of the Multiverse 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Abishai;Medium;Fiend;Lawful Neutral;3    ;700    ;;;;;;;;;;;x;x;Mordenkainen's Tome of Foes 162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Abyss Orc;Medium;Humanoid;Chaotic Evil;3    ;700    ;;;;;;;;;;;;;Creature Codex 291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Brain;Small;Plant;Lawful Neutral;3    ;700    ;;;;;;;;;;;;;Fifth Edition Foes 134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Dracolisk;Large;Dragon;Unaligned;3    ;700    ;;;;;;;;;;;;;Fifth Edition Foes 85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Dragon Wyrmling;Medium;Dragon;Lawful Neutral;3    ;700    ;;;;;;;;;;;;;Monster Manual 95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Guardian Gargoyle;Medium;Monstrosity;Chaotic Evil;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;;Fifth Edition Foes 115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Hag;Medium;Fey;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Monster Manual 177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Knight of the Woods;Medium;Fey;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Creature Codex 209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Green Slaad;Large;Aberration;Chaotic Neutral;4    ;1100    ;;;;;;;;;;;;x;Monster Manual 277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grell;Medium;Aberration;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Monster Manual 172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gremishka;Tiny;Monstrosity;Not Provided;4    ;1100    ;;;;;;;;;;;x;;Van Richten's Guide to Ravenloft 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gremlin;Small;Beast;Unaligned;4    ;1100    ;;;;;;;;;;;x;;Planeshift: Kaladesh 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grick;Medium;Monstrosity;Neutral;4    ;1100    ;;;;;;;;;;;;;Monster Manual 173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grick Alpha;Large;Monstrosity;Neutral;4    ;1100    ;;;;;;;;;;;;;Monster Manual 173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Griffon;Large;Monstrosity;Unaligned;4    ;1100    ;x;x;;;;;;;;;;;Monster Manual 174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Griffon Cavalry Rider;Medium;Humanoid;Any;4    ;1100    ;;;;;;;;;;;x;;Waterdeep: Dragon Heist 197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grim Jester;Medium;Undead;Chaotic Evil;4    ;1100    ;;;;;;;;;;;x;;Tome of Beasts 240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grimlock;Medium;Humanoid;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Monster Manual 175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grimm;Large;Fey;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grimmlet;Tiny;Monstrosity;Unaligned;4    ;1100    ;;;;;;;;;;;;;Tome of Beasts 2 186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grimmlet Swarm;Large;Monstrosity;Unaligned;4    ;1100    ;;;;;;;;;;;;;Tome of Beasts 2 187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grindylow;Medium;Aberration;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;;Creature Codex 210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grippli;Small;Humanoid;Neutral;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grippli Warrior;Small;Humanoid;Not Provided;4    ;1100    ;;;;;;;;;;;;;Candlekeep Mysteries 99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grisha;Medium;Humanoid;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;;Out of the Abyss 232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groff;Large;Plant;Unaligned;4    ;1100    ;;;;;;;;;;;;;Strixhaven: A Cirriculum of Chaos 194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grog Strongjaw;Medium;Humanoid;Not Provided;4    ;1100    ;;;;;;;;;;;;;Tal'Dorei Campaign Setting Reborn 261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grove Bear;Medium;Beast;Unaligned;4    ;1100    ;;;;;;;;;;;;;Tome of Beasts 2 394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grove Guardian;Large;Fey;Neutral;4    ;1100    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grue (type 1);Large;Ooze;Unaligned;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grue (type 2);Medium;Aberration;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grung;Small;Humanoid;Any;4    ;1100    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grung;Small;Humanoid;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Volo's Guide to Monsters 156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grung Elite Warrior;Small;Humanoid;Any;4    ;1100    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grung Elite Warrior;Small;Humanoid;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Volo's Guide to Monsters 157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grung Wildling;Small;Humanoid;Any;4    ;1100    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grung Wildling;Small;Humanoid;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Volo's Guide to Monsters 157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruul Goblin;Small;Humanoid;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guard;Medium;Humanoid;Any;4    ;1100    ;;x;x;x;x;x;x;x;x;x;x;;Monster Manual 347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guard Drake;Medium;Dragon;Unaligned;4    ;1100    ;x;;x;x;x;x;x;x;x;x;x;;Mordenkainen Presents: Monsters of the Multiverse 151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guard Drake;Medium;Dragon;Unaligned;4    ;1100    ;x;;x;x;x;x;x;x;x;x;x;;Volo's Guide to Monsters 158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guardian Giant;Huge;Giant;Lawful Neutral;4    ;1100    ;;;;;;;;;;;x;;Guildmaster's Guide to Ravnica 201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guardian Naga;Large;Monstrosity;Lawful Good;4    ;1100    ;;;x;x;x;x;x;x;x;x;;;Monster Manual 234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guardian Portrait;Medium;Construct;Unaligned;4    ;1100    ;;;;;;;;;;;x;;Curse of Strahd 227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guardian Shadow Fey Elves;Large;Humanoid;Neutral Evil;4    ;1100    ;;;;;;;;;;;;x;Tome of Beasts 174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gug;Large;Aberration;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;x;Monster a Day Compendium 2.0 72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gug;Large;Giant;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;x;Sandy Petersen's Cthulhu Mythos 332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gug;Huge;Giant;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Tome of Beasts 241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gugalanna;Huge;Celestial;Chaotic Good;4    ;1100    ;;;;;;;;;;;;x;Creature Codex 211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guiguai;Medium;Undead;Any;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;;Tome of Beasts 2 188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulon;Large;Monstrosity;Unaligned;4    ;1100    ;;;;;;;;;;;;;Creature Codex 212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulper Behemoth;Gargantuan;Monstrosity;Unaligned;4    ;1100    ;;;;;;;;;;;;;Tome of Beasts 2 190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulper Eel;Large;Beast;Unaligned;4    ;1100    ;;x;;;;;;;;;;;Fifth Edition Foes 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gumienniki;Small;Fiend;Neutral Evil;4    ;1100    ;;;;;;;;;;;;x;Creature Codex 213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gunvald Halraggson;Medium;Humanoid;Neutral;4    ;1100    ;;;;;;;;;;;;;Icewind Dale: Rime of the Frostmaiden 305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gynosphinx;Large;Monstrosity;Lawful Neutral;4    ;1100    ;;;x;x;x;x;x;x;x;x;;;Monster Manual 282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gypsosphinx;Large;Monstrosity;Neutral Evil;4    ;1100    ;;;x;x;x;x;x;x;x;x;x;;Tome of Beasts 359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hadrosaurus;Large;Beast;Unaligned;4    ;1100    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hag of the Fetid Gaze;Medium;Fey;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Candlekeep Mysteries 76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hair Golem;Small;Construct;Unaligned;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halaster Blackcloak;Medium;Humanoid;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;;Waterdeep: Dungeon of the Mad Mage 310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haleshi;Large;Fey;Lawful Neutral;4    ;1100    ;;x;;;;;;;;;;;Tome of Beasts 2 191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Half-Black Dragon Warlord;Medium;Humanoid;Chaotic Evil;4    ;1100    ;x;;;;;;;;;;;;Monster a Day Compendium 2.0 158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Half-ogre;Large;Giant;Any Chaotic;4    ;1100    ;x;;x;x;x;x;x;x;x;x;x;;Monster Manual 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Half-orc Barbarian;Medium;Humanoid;Chaotic Neutral;4    ;1100    ;x;;;;;;;;;;;;Monster a Day Compendium 2.0 138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Half-Orc Warpriest;Medium;Humanoid;Chaotic Neutral;4    ;1100    ;x;;;;;;;;;;;;Monster a Day Compendium 2.0 151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Half-Red Dragon Veteran;Medium;Humanoid;Any;4    ;1100    ;;;;;;;;;;;x;;Monster Manual 180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hallowed Reed;Medium;Celestial;Neutral Good;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hamadryad;Medium;Fey;Chaotic Neutral;4    ;1100    ;;;;;;;;;;;;;Minsc and Boo's Journal of Villainy 143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hanged Man;Medium;Undead;Chaotic Evil;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;;Fifth Edition Foes 139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hangman Tree;Huge;Plant;Neutral Evil;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hantu Penanggal;Medium;Fiend;Any Evil;4    ;1100    ;;;;;;;;;;;;x;Tome of Beasts 2 192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hanu-naga;Large;Monstrosity;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;x;Fifth Edition Foes 175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harbinger of Wrath;Gargantuan;Construct;Chaotic Evil;4    ;1100    ;;;;;;;;;;;;x;Tome of Beasts 2 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hare;Tiny;Beast;Unaligned;4    ;1100    ;x;;x;x;x;x;x;x;x;x;;;Icewind Dale: Rime of the Frostmaiden 294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harefolk;Small;Humanoid;Chaotic Good;4    ;1100    ;x;;;;;;;;;;;;Tome of Beasts 2 194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harengon Brigand;Medium;Humanoid;Any;4    ;1100    ;;;;;;;;;;;x;;The Wild Beyond The Witchlight 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harengon Sniper;Medium;Humanoid;Any;4    ;1100    ;;;;;;;;;;;x;;The Wild Beyond The Witchlight 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpy;Medium;Monstrosity;Chaotic Evil;4    ;1100    ;;x;;;;;;;;;;;Monster Manual 181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpy Matriarch;Medium;Monstrosity;Chaotic Evil;4    ;1100    ;;x;;;;;;;;;;;Ghosts of Saltmarsh 237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hashalaq Quori;Medium;Aberration;Lawful Evil;4    ;1100    ;;;;;;;;;;;;x;Eberron: Rising from the Last War 305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hastur;Medium;Aberration;Unaligned;4    ;1100    ;;;;;;;;;;;;x;Monster a Day Compendium 2.0 73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haugbui;Medium;Undead;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Tome of Beasts 247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haunted Giant;Huge;Giant;Chaotic Neutral;4    ;1100    ;;;;;;;;;;;;;Creature Codex 183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hawanar Genie;Large;Fiend;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;x;Fifth Edition Foes 117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hawk;Tiny;Beast;Unaligned;4    ;1100    ;;x;;;;;;;;;;;Monster Manual 330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hawkfox;Medium;Monstrosity;Unaligned;4    ;1100    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hawktoad;Small;Monstrosity;Unaligned;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Headless Horseman;Medium;Fiend;Lawful Neutral;4    ;1100    ;;;;;;;;;;;x;;Monster a Day Compendium 2.0 75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heavy Cavalry;Medium;Humanoid;Lawful Neutral;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hebi-Doku;Medium;Fey;Chaotic Evil;4    ;1100    ;;;x;x;x;x;x;x;x;x;x;;Tome of Beasts 2 222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heggarna;Tiny;Aberration;Neutral Evil;4    ;1100    ;;;;;;;;;;;x;;Tome of Beasts 2 196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helashruu;Huge;Aberration;Chaotic Evil;4    ;1100    ;x;x;x;x;x;x;x;x;x;x;x;x;Tome of Beasts 2 197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helix Moth Adult;Huge;Beast;Unaligned;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helix Moth Larva;Large;Beast;Unaligned;4    ;1100    ;;;;;;;;;;;;;Fifth Edition Foes 142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hell Hound;Medium;Fiend;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Monster Manual 182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellenrae;Medium;Humanoid;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;;Princes of the Apocalypse 198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellfire Engine;Huge;Construct;Lawful Evil;4    ;1100    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellfire Engine;Huge;Construct;Lawful Neutral;4    ;1100    ;;;;;;;;;;;;x;Mordenkainen's Tome of Foes 165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellwasp;Large;Fiend;Lawful Evil;4    ;1100    ;;;;;;;;;;;;x;Baldur's Gate: Descent into Avernus 236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helmed Horror;Medium;Construct;Neutral;4    ;1100    ;;;;;;;;;;;x;;Monster Manual 183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
